Datei;Klasse/Typ;Funktion;Rückgabewert;Parameter;Funktionalität
DBMain.pas;TSignalMaschineItem;CopyMe;TSignalMaschineItem;-;Erstellt eine Kopie des aktuellen Signal-Maschinen-Items
DBMain.pas;TSignalMaschineList;getItem;TSignalMaschineItem;index: Integer;Gibt das Item an der Position index zurück
DBMain.pas;TSignalMaschineList;setItem;-;index: Integer; const Value: TSignalMaschineItem;Setzt das Item an der Position index
DBMain.pas;TSignalMaschineList;Add;Integer;aSignalEintrag: TSignalMaschineItem;Fügt ein neues Item zur Liste hinzu und gibt den Index zurück
DBMain.pas;TSignalMaschineList;GetByMaschNr;TSignalMaschineList;aMaschNr: Integer;Gibt eine neue Liste mit allen Items zurück, die zur Maschine aMaschNr gehören
DBMain.pas;TSignalMaschineList;GetByMaschNrSignalart;TSignalMaschineItem;aMaschNr: Integer; aSignalart: Integer;Such ein Item nach Maschinennummer und Signalart und gibt es zurück (oder nil)
DBMain.pas;TSignalMaschineList;GetNr;TSignalMaschineItem;aNr: Integer;Sucht ein Item nach Signalnummer aNr
DBMain.pas;TSignalMaschineList;GetIstwertByNr;Integer;aNr: Integer;Gibt den Istwert eines Signals mit der Nummer aNr zurück (oder 0)
DBMain.pas;TSignalMaschineList;GetBoolByNr;Boolean;aNr: Integer;Gibt den booleschen Istwert (True wenn 1) eines Signals mit der Nummer aNr zurück
DBMain.pas;TSignalMaschineList;Clear;-;-;Löscht alle Items in der Liste (mit Speicherbereinigung)
DBMain.pas;TSignalMaschineList;Destroy;-;-;Destructor: Löscht alle Items und die Liste selbst
DBMain.pas;TS7Main;Create;-;(AOwner: TComponent) oder ohne Parameter in AZURE;Konstruktor: Initialisiert Datenbankverbindung, lädt Konfiguration aus incl_<DBUser>.ini, erstellt Timer, S7-Komponenten (TPM, cSPC, S7_Auftrag, INC_Meldung), lädt Maschinen- und Signal-Konfiguration
DBMain.pas;TS7Main;Destroy;-;-;Destructor: Bereinigt alle Ressourcen (Timer, Threads, Datenbankverbindungen)
DBMain.pas;TS7Main;Timer1Timer;-;Sender: TObject;Timer-Event-Handler: Wird periodisch aufgerufen, um Daten zu lesen (DatenLesen, DatenLesen2, DatenLesen_Metall)
DBMain.pas;TS7Main;Create_Threads;-;-;Erstellt Hintergrund-Threads für Schichtberechnung, Zusatzfunktionen, Signal-Logging und Backup
DBMain.pas;TS7Main;In_SPSWerteDB;-;-;Liest SPS-Werte aus der Datenbank und aktualisiert die internen Signal-Strukturen
DBMain.pas;TS7Main;Schreibe_SPS_Wert;-;MaschNr: Integer; SignalNr: Integer; Wert: Integer;Schreibt einen Wert in die SPS für eine bestimmte Maschine und Signalnummer
DBMain.pas;TS7Main;DatenLesen;-;-;Hauptfunktion zum Lesen von SPS-Daten: Liest alle Maschinen-Signale (Stückzahlen, Taktzeiten, Betriebsstunden, etc.) und aktualisiert die Includis-Datenstruktur
DBMain.pas;TS7Main;DatenLesen2;-;-;Erweiterte Datenlesung: Liest zusätzliche Signale (z. B. Barcodes, Terminal-Eingaben)
DBMain.pas;TS7Main;DatenLesen_Metall;-;-;Spezielle Datenlesung für Metall-Bearbeitung
DBMain.pas;TS7Main;GetStueckAuftragAlt;Longint;index: Integer;Gibt den alten Stückzahlwert für einen Auftrag zurück (für Differenzberechnung)
DBMain.pas;TS7Main;CheckManuelleStueckBuchung;Boolean;index: Integer;Prüft, ob eine manuelle Stückbuchung für eine Maschine vorliegt
DBMain.pas;TS7Main;NeueSchicht;Boolean;var AlteSchicht: Integer;Prüft, ob ein Schichtwechsel stattgefunden hat und aktualisiert AlteSchicht
