DE;EN;DA;ES;CS;SV;
-;-;-;-;-;-;
°Celsius;°Celsius;-;-;°Celsius;°celcius;
ab;At/from;på/fra;-;-;från;
ab Datum;from date;-;-;-;-;
ab Etikett Nr;At label No.;-;-;-;från etikett nr;
ab jetzt;from now;-;-;-;-;
ab Start;from start;-;-;-;-;
abändern möchten;like to change;-;-;-;vill ändra;
Abbrechen;Cancel;Luk;-;Prerušení;Avbryt;
Abbruch;Cancel;Luk;-;Prerušení;Avbrott;
Abfrage;Request;-;-;-;-;
Abfragen;Requests;Søg;-;-;-;
Abgang;Leaving;Afgang;-;Odchod;Utgång;
abgebaut;Dismantled;afmonteret;-;-;demonterad;
abgelaufen;Expired;-;-;-;utlöpt;
abgemeldet;logged off;-;-;-;utloggad;
Abgeschlossen;Closed;;;;;
abgeschlossen;closed;-;finalizado;-;avlsutat;
abgeschloßen;closed;-;-;-;avslutat;
Abmelden;Logoff;-;-;Odhlásit;Logga ut;
abmelden;logoff;-;-;-;-;
ABMELDUNG;LOGOFF;-;-;-;-;
Abmeldung;checkout;-;-;Odhlášení;Utloggning;
Abmeldung: Werkstatt;Report: Plant Monitoring;-;-;Odhlášení: dílna;Utloggning: verkstad;
abs;abs;-;-;-;-;
abschließen;close;-;-;-;avsluta;
Abschließende Buchung;Closing booking;-;-;Poslední vkládání;Avslutande bokning;
Abschlussdatum;closing date;-;-;Záverecný datum;Avslutningsdatum;
Abspannzeit / min;Breakdown time [min;Stoppet /min;-;-;Stopptid / min;
Abspannzeit eingeben;Enter Breakdown Time;-;-;Zadat cas uvolnení;Mata in stopptid;
Abstapelung;Destacking;-;-;Rozpad;Avstapling;
Abstimmung / Prüfung am;Coordination / Testing at;-;-;odzkoušeno dne;Avstämning / kontroll den;
Abw;Var;-;-;Odchylka;Avv.;
ABW_Geschw;DEV_Speed;-;-;-;-;
ABW_HZ;DEV_HZ;-;-;-;-;
ABW_Nach;DEV_Post;-;-;-;-;
ABW_Spritz;DEV_Inject;-;-;-;-;
Abw. [;Var. [;-;-;-;-;
Abw. [min;Var. [min;-;-;-;-;
Abw. [s;Var. [s;-;-;-;-;
Abweichung;Deviation;Afvigelse;Tolerancia;Vyjímka;Avvikelse;
Abweichungprz;Durationpcs;-;-;-;-;
Achtung;Attention;-;-;Pozor;Varning;
Achtung ! Alle Daten werden gelöscht;Warning ! all data will be deleted;-;-;Pozor! Všechna data budou vymazána;Varning! All data raderas;
Achtung: Das Feld ~ETIKETT~ ist nicht gesetzt;Attention, the field ~label~ is not set;-;-;Pozor: Pole ~Visacka~ není zadáno;Varning: fältet ~ETIKETT~ har ej ställts in;
Achtung: Das Feld ~FARBE~ ist nicht gesetzt;Attention, the field ~color~ is not set;-;-;Pozor: Pole ~Barvivo~ není zadáno;Varning: fältet ~FÄRG~ har ej ställts in;
Achtung: Das Feld ~KARTONS / PALETTE~ ist nicht gesetzt;Attention, the field ~cartons / palette~ is not set;-;-;Pozor: Pole ~Balení~ není zadáno;Varning: fältet ~KARTONGER / PALL~ har ej ställts in;
