Feld;Bezeichnung
AUFTRAGNR;Artikel-Nr.
BETRIEBSAUFTRAGNR;Auftrag-Nr.
ENDDATUMZEIT;Ende
ENDEALT;Ende alt
ENDEDATUM;vor. Ende
ENDENEU;Ende neu
ISTWERT_PRZ;Ist %
KOPFGROESSE;Kavität
LIZENZ;Maschine
MASCHNAMEALT;Maschine alt
MASCHNAMENEU;Maschine neu
MATERIALNR;Material-Nr.
RUESTZEIT;Rüstzeit
SOLLWERT;Soll
STARTALT;Start alt
STARTDATUMZEIT;Start
STARTNEU;Start neu
STUECK;Ist
TERMIN1;LT1
TERMIN2;LT2
TERMIN3;LT3
WARTUNGNR;Wartung-Nr.
WERKZEUGBEZ;WZ-Bezeichnung
WERKZEUGNR;WZ-Nr.
WZKAVITAET;WZ-Kavität
