DE;EN
ZYKLUSZEITDURCH;CYCLETIMEAVG
ZYKLUSZEIT;CYCLE_TIME
ZUSTANDSFARBE;STATUSCOLOR
ZUSTANDINT;STATEINT
ZUSTAND;STATE
ZUSTAENDIG;RESPONSIBLE
ZUSATZ_EXTRUSION;APPEND_EXTRUSION
ZUSATZ;APPEND
ZUGANG;ACCESS
ZTMP_STILL;ZTMP_DOWN
ZTMP_PDEGEPLANT;ZTMP_PDESCHED
ZTMP_AARCHIVMDE;ZTMP_ARCHIVERTM
ZTMP_AARCHIV;ZTMP_ARCHIVE
ZEITSTR;TIMESTR
ZEITSPANNE;TIMESPAN
ZEITRAUM;PERIOD
ZEITPUNKT;MOMENT
ZEIT;TIME
ZEICHNUNGSNR;DRAWING_NO
ZEICHNUNGSNAME;DRAWINGNAME
ZEICHNUNGNR;DRAWINGNO
ZEICHNUNGINDEX;DRAWINGINDEX
ZEICHNUNG;DRAWING
ZAEHLERSTAND;COUNTER
XMIN_TEMP2INT;XMIN_TEMP2INT
XMIN_TEMP1INT;XMIN_TEMP1INT
XMIN_SPRITZDRUCKINT;XMIN_INJPRESINT
XMIN_SPEEDINT;XMIN_SPEEDINT
XMIN_NACHDRUCKINT;XMIN_POSTPRESINT
XMAX_TEMP2INT;XMAX_TEMP2INT
XMAX_TEMP1INT;XMAX_TEMP1INT
XMAX_SPRITZDRUCKINT;XMAX_INJPRESINT
XMAX_SPEEDINT;XMAX_SPEEDINT
XMAX_NACHDRUCKINT;XMAX_POSTPRESINT
WZ_WARNUNG_SPERREN;MOLD_WARNING_BLOCK
WZ_STANDZEIT_STD;MOLD_LIFETIME_STD
WZ_STANDZEIT;MOLD_LIFETIME
WZ_SOLLSTANDZEIT;MOLD_SETLIFETIME
WZ_RESTSTANDZEIT;MOLD_RESTLIFETIME
WZ_NR;MD_NO
WZ_KAV;MOLD_CAV
WZ_BEZ;MOLD_DES
WZKAVITAET;MOLDCAV
WZKAVITAET2;MOLDCAV2
WZBSTARTSTR;MOLDSTARTSTR
WZBSTARTDATUMZEIT;MOLDSTARTDATETIME
WZBEREITZEIT;MOLDREADYTIME
WUNSCHMASCHINE;DESIREDMACHINE
WT_PROT;WT_LOG
WTNR;WTNO
WS_ANZEIGE;PM_DISPLAY
WSGRUPPE;SFGROUP
WORT;WORD
WOP_PERSONAL_ANMELDUNG;WOP_PERSONNEL_LOGIN
WOHIN;WHERE
WKZNOTE3;MOLDNOTE3
WKZNOTE2;MOLDNOTE2
WKZNOTE1;MOLDNOTE1
WIRKUNG;EFFEKT
WIEDERHOLUNGSINTERVALL;REPEATINTERVAL
WIEDERHOLUNGSEINHEIT;REPEATUNIT
WIEDERHOLUNG;REPEAT
WERTNEU;VALUENEW
WERTNAME;VALUENAME
WERTALT;VALUEOLD
WERT2;VALUE2
WERT1;VALUE1
WERKZEUG_TEMPERATUR;MOLD_TEMPERATUR
WERKZEUG_NR;MOLD_NO
WERKZEUG_MASCHINE;MOLD_MACHINE
WERKZEUG_FILTER;MOLD_FILTER
WERKZEUG_FEST_MASCHINE;MOLD_FIXED_MACHINE
WERKZEUG_AUTO_BUCHUNG;MOLD_AUTO_BOOKING
WERKZEUG_ANGUSS;MOLD_SPRUE
WERKZEUGSTUECKLISTE;MOLD_LIST
WERKZEUGPLAN;MOLDPLAN
WERKZEUGNR;MOLDNO
WERKZEUGLAGER;MOLD_STOCK
WERKZEUGINDEX;MOLDINDEX
WERKZEUGDUPLO;MOLDDUPLO
WERKZEUGBEZ;MOLDDESC
WERKZEUG;MOLD
WERKSTATT_ZEITMELDUNG;SHOPFLOOR_TIMEMESSAGE
WERKSTATT_PROTOKOLL;SHOPFLOOR_LOG
WERKSTATT_P;PLANTMONITORING_P
WERKSTATT_GRUPPE_ORDER;PLANTMONITORING_GROUP_ORDER
WERKSTATT_GRUPPE;PLANTMONITORING_GROUP
WERKSTATT_AUSSCHUSS;SHOPLFLOOR_SCRAP
WERKSTATT_ANMELDUNG;SHOPFLOOR_REGISTRATION
WERKSTATTRECHNER;SHOPFLOORCOMPUTER
WERKSTATTPROT;SHOPFLOORLOG
WERKSTATTGRUPPEN;SHOPFLOORGROUPS
WERKSTATT;PLANTMONITORING
WERKSSTANDORT;PLANTLOCATION
WERKSPL_NUTZ_PRZ;PLANTCAL_AVAILAB_PCNT
WERKSPL_KAP;PLANTCAL_CAP
WERKSKALENDER_PERS;PLANTCALENDAR_PERS
WERKSKALENDER_MASCH;PLANTCALENDAR_MACH
WERKSKALENDERGRUPPE;PLANTCALENDARGROUP
WERKSKALENDER;PLANTCALENDAR
WERK;PLANT
WARTUNG_P;MAINTAIN_P
WARTUNGNR;MAINTANENO
WARTUNG;MAINTAIN
WARNUNG_SPERREN;WARNING_LOCK
WARNUNG;WARNING
WARMTRENNEN;WARMSEPARATING
WARMPROGRAMM;WARMPROGRAM
WARMPROGRAMM;WARMPROGRAM
VWZEIT;PWTIME
VWEINHEIT;PWUNIT
VWDATUMZEIT;PWDATETIME
VORWARNUNG_DIFF;PREWARNING_DIFF
VORWARNUNG_ABS;PREWARNING_ABS
VORWARNUNGPRZ;PREWARNING_PRZ
VORWARNUNG;PREWARNING
VORNAME;PRENAME
VORGANG;PROCEDURE
VORGABEZYKLUS;DEFAULTCYCLE
VORGABE;DEFAULT
VON_DATUM;FROM_DATE
VISUELL;VISUAL
VISNOTIZ;VISNOTE
VIEW_BUCHUNGSPROT;VIEW_BOOKINGLOG
VERTEILUNGINT;DISTRIBUTIONINT
VERTEILUNG;DISTRIBUTION
VERPACK_PRZ;PACKEDPCNT
VERPACKUNGSEINHEITINT;BOXESUNITINT
VERPACKUNGSEINHEIT;BOXESUNIT
VERPACKT_PRZ;PACKED_PCNT
VERPACKT_KORR;PACKED_CORR
VERPACKT_GLEICH_GUT;PACKED_EQUALS_GOOD
VERPACKT_BUCHEN;BOOK_PACKED
VERPACKT_BARCODE;PACKE_BARCODE
VERPACKT_AUS_AUSSCHUSS;PACKED_FROM_SCRAP
VERPACKTPROT;PACKED_LOG
VERPACKTLAGER;PACKED_STOCK
VERPACKTKARTONS;PACKED_CARTONS
VERPACKTINT;PACKEDINT
VERPACKT;PACKED
VERPACKT2;PACKED2
VERLUSTINT;LOSINGINT
VERLUST;LOSING
VERGLEICHGRUPPE;COMPAREGROUP
VERFUEGBARKEIT;AVAILABILITY
VERARBEITUNG;PROCESSING
VAR_KAVITAET;VAR_CAVITY
VARTEMP2;DIFFTEMP2
VARTEMP1;DIFFTEMP1
VARSPRITZDRUCK;DIFFINJPRESSURE
VARSPEED;DIFFSPEED
VARNACHDRUCK;DIFFPOSTPRESSURE
VARIABLE_KAVITAET;VARIABLE_CAVITY
USER_COLOR;USER_COLOR
URSACHE;CAUSE
UNTERNR;SUBNO
UNTERBRUCH_STUECK;INTERRUPT_PARTS
UNGEPL_STILL;UNSCHED_DOWN
UNGEPLANTP;UNSCHEDP
UNGEPLANT;UNSCHEDULED
UHRZEIT;TIMEOFDAY
UHR;CLOCK
UEBERWACHUNGSZEIT;MOINTORINGTIME
UEBERTRAGUNGSSTATUS;DELIVERYSTATE
UEBER10;OVER10
TYP_WERT5;TYPE_VALUE5
TYP_WERT4;TYPE_VALUE4
TYP_WERT3;TYPE_VALUE3
TYP_WERT2;TYPE_VALUE2
TYP_WERT1;TYPE_VALUE1
TYP;TYPE
TPM_STILLSTAENDE;TPM_DOWNTIMES
TPM_STILLOG_VIEW;TPM_DOWNLOG_VIEW
TPM_STILLOG_SCHICHT;TPM_DOWNLOG_SHIFT
TPM_STILLOG_ARC;TPM_DOWNLOG_ARC
TPM_STILLOG;TPM_DOWNLOG
TPM_STILLNR;TPM_DOWNNO
TPM_SIGNALLOG;TPM_SIGNALLOG
TPM_SHIFT_CVIEW;TPM_SHIFT_CVIEW
TPM_SCHICHT;TPM_SHIFT
TPM_PRODUKTIONSDETAIL;TPM_PRODUCTIONDETAIL
TPM_MASCHZUORDNUNG;TPM_MACHALLOCATION
TPM_FEHLERNR;TPM_ERRORNO
TPM_AUSWERTUNG;TPM_EVALUATION
TPM_AUFTRAGSDETAIL;TPM_JOBDETAIL
TPMVERL;TPMLOSE
TPMPARETOAUSSCHUSS;TPMPARETOSCRAP
TPMDRUCK;TPMPRINT
TOP;TOP
TOLP_WERT5;TOLP_VAL5
TOLP_WERT4;TOLP_VAL4
TOLP_WERT3;TOLP_VAL3
TOLP_WERT2;TOLP_VAL2
TOLP_WERT1;TOLP_VAL1
TOLN_WERT5;TOLN_VAL5
TOLN_WERT4;TOLN_VAL4
TOLN_WERT3;TOLN_VAL3
TOLN_WERT2;TOLN_VAL2
TOLN_WERT1;TOLN_VAL1
TOLLTEMP2P;TOLTEMP2P
TOLLTEMP2M;TOLTEMP2M
TOLLTEMP1P;TOLTEMP1P
TOLLTEMP1M;TOLTEMP1M
TOLLSPRITZDRUCKP;TOLINJPRESSUREP
TOLLSPRITZDRUCKM;TOLINJPRESSUREM
TOLLSPEEDP;TOLLSPEEDP
TOLLSPEEDM;TOLSPEEDDM
TOLLNACHDRUCKP;TOLPOSTPRESSUREP
TOLLNACHDRUCKM;TOLPOSTPRESSUREM
TOLERANZ_SPRITZDRUCKP;TOLERANCE_INJPRESSUREP
TOLERANZ_SPRITZDRUCKM;TOLERANCE_INJPRESSUREM
TOLERANZ_SPRITZDRUCK;TOLERANCE_INJPRESSURE
TOLERANZ_SPEEDP;TOLERANCE_SPEEDP
TOLERANZ_SPEEDM;TOLERANCE_SPEEDM
TOLERANZ_SPEED;TOLERANCE_SPEED
TOLERANZ_SD;TOLERANCE_IP
TOLERANZ_ND;TOLERANCE_PP
TOLERANZ_NACHDRUCKP;TOLERANCE_POSTPRESP
TOLERANZ_NACHDRUCKM;TOLERANCE_POSTPRESM
TOLERANZ_NACHDRUCK;TOLERANCE_POSTPRES
TOLERANZ_HZ2P;TOLERANCE_HZ2P
TOLERANZ_HZ2M;TOLERANCE_HZ2M
TOLERANZ_HZ2;TOLERANCE_HZ2
TOLERANZ_HZ1P;TOLERANCE_HZ1P
TOLERANZ_HZ1M;TOLERANCE_HZ1M
TOLERANZ_HZ1;TOLERANCE_HZ1
TOLERANZ_2_SPRITZDRUCKP;TOLERANCE_2_INJPRESSUREP
TOLERANZ_2_SPRITZDRUCKM;TOLERANCE_2_INJPRESSUREM
TOLERANZ_2_SPEEDP;TOLERANCE_2_SPEEDP
TOLERANZ_2_SPEEDM;TOLERANCE_2_SPEEDM
TOLERANZ_2_NACHDRUCKP;TOLERANCE_2_POSTPRESP
TOLERANZ_2_NACHDRUCKM;TOLERANCE_2_POSTPRESM
TOLERANZ_2_HZ2P;TOLERANCE_2_HZ2P
